21-03-2024 16:37:51.076Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 15
21-03-2024 16:38:11.707Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:38:13.871Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:38:15.395Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:38:15.396Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:38:15.398Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 16
21-03-2024 16:38:35.987Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:38:38.105Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:38:39.633Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:38:39.634Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:38:39.635Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 17
21-03-2024 16:39:00.237Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:39:02.385Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:39:03.863Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:39:03.864Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:39:03.866Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 18
21-03-2024 16:39:24.503Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:39:26.636Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:39:28.250Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:39:28.252Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:39:28.262Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 19
